type,url,statut_final,url_finale,titre,canonique,fil_serveur,fil_visible_dans_html,liens_produit_html,liens_avec_contexte
family-brand,https://www.mikadodeco.be/collections/rangement?brand=hkliving,200,https://www.mikadodeco.be/collections/rangement?brand=hkliving,Rangement · HKliving · Mikado Deco,https://www.mikadodeco.be/collections/rangement?brand=hkliving,Accueil > Le catalogue > Rangement > HKliving,True,21,21
family-brand,https://www.mikadodeco.be/collections/accessoires?brand=ferm-living,200,https://www.mikadodeco.be/collections/accessoires?brand=ferm-living,Arts de la table · Ferm Living · Mikado Deco,https://www.mikadodeco.be/collections/accessoires?brand=ferm-living,Accueil > Le catalogue > Arts de la table > Ferm Living,True,8,8
family-brand,https://www.mikadodeco.be/collections/accessoires?brand=hkliving,200,https://www.mikadodeco.be/collections/accessoires?brand=hkliving,Arts de la table · HKliving · Mikado Deco,https://www.mikadodeco.be/collections/accessoires?brand=hkliving,Accueil > Le catalogue > Arts de la table > HKliving,True,24,24
family-brand,https://www.mikadodeco.be/collections/accessoires?brand=ichendorf-milano,200,https://www.mikadodeco.be/collections/accessoires?brand=ichendorf-milano,Arts de la table · Ichendorf Milano · Mikado Deco,https://www.mikadodeco.be/collections/accessoires?brand=ichendorf-milano,Accueil > Le catalogue > Arts de la table > Ichendorf Milano,True,24,24
family-brand,https://www.mikadodeco.be/collections/accessoires?brand=alessi,200,https://www.mikadodeco.be/collections/accessoires?brand=alessi,Arts de la table · Alessi · Mikado Deco,https://www.mikadodeco.be/collections/accessoires?brand=alessi,Accueil > Le catalogue > Arts de la table > Alessi,True,24,24
family-brand,https://www.mikadodeco.be/collections/sieges?brand=carl-hansen-son,200,https://www.mikadodeco.be/collections/sieges?brand=carl-hansen-son,Assises · Carl Hansen & Søn · Mikado Deco,https://www.mikadodeco.be/collections/sieges?brand=carl-hansen-son,Accueil > Le catalogue > Assises > Carl Hansen & Søn,True,24,24
family-brand,https://www.mikadodeco.be/collections/sieges?brand=artek,200,https://www.mikadodeco.be/collections/sieges?brand=artek,Assises · Artek · Mikado Deco,https://www.mikadodeco.be/collections/sieges?brand=artek,Accueil > Le catalogue > Assises > Artek,True,24,24
family-brand,https://www.mikadodeco.be/collections/sieges?brand=vitra,200,https://www.mikadodeco.be/collections/sieges?brand=vitra,Assises · Vitra · Mikado Deco,https://www.mikadodeco.be/collections/sieges?brand=vitra,Accueil > Le catalogue > Assises > Vitra,True,24,24
family-brand,https://www.mikadodeco.be/collections/sieges?brand=hay,200,https://www.mikadodeco.be/collections/sieges?brand=hay,Assises · HAY · Mikado Deco,https://www.mikadodeco.be/collections/sieges?brand=hay,Accueil > Le catalogue > Assises > HAY,True,24,24
family-brand,https://www.mikadodeco.be/collections/outdoor?brand=fermob,200,https://www.mikadodeco.be/collections/outdoor?brand=fermob,Jardin · Fermob · Mikado Deco,https://www.mikadodeco.be/collections/outdoor?brand=fermob,Accueil > Le catalogue > Jardin > Fermob,True,24,24
family-brand,https://www.mikadodeco.be/collections/outdoor?brand=hay,200,https://www.mikadodeco.be/collections/outdoor?brand=hay,Jardin · HAY · Mikado Deco,https://www.mikadodeco.be/collections/outdoor?brand=hay,Accueil > Le catalogue > Jardin > HAY,True,24,24
family-brand,https://www.mikadodeco.be/collections/outdoor?brand=fatboy,200,https://www.mikadodeco.be/collections/outdoor?brand=fatboy,Jardin · Fatboy · Mikado Deco,https://www.mikadodeco.be/collections/outdoor?brand=fatboy,Accueil > Le catalogue > Jardin > Fatboy,True,24,24
family-brand,https://www.mikadodeco.be/collections/outdoor?brand=tradition,200,https://www.mikadodeco.be/collections/outdoor?brand=tradition,Jardin · &Tradition · Mikado Deco,https://www.mikadodeco.be/collections/outdoor?brand=tradition,Accueil > Le catalogue > Jardin > &Tradition,True,24,24
other,https://www.mikadodeco.be/,200,https://www.mikadodeco.be/,"Mikado Deco · Mobilier & objets de design, Bruxelles",https://www.mikadodeco.be/,,False,8,0
other,https://www.mikadodeco.be/produits.html,200,https://www.mikadodeco.be/produits.html,Mobilier & objets de design — Catalogue · Mikado Deco,https://www.mikadodeco.be/produits.html,,False,24,0
other,https://www.mikadodeco.be/marques.html,200,https://www.mikadodeco.be/marques.html,"Marques de design — Fermob, Vitra, Blomus… · Mikado Deco",https://www.mikadodeco.be/marques.html,,False,0,0
other,https://www.mikadodeco.be/designers.html,200,https://www.mikadodeco.be/designers.html,"Designers de mobilier — Vitra, Fermob, HAY… · Mikado Deco",https://www.mikadodeco.be/designers.html,,False,0,0
other,https://www.mikadodeco.be/produits.html?designer=alvar-aalto,200,https://www.mikadodeco.be/produits.html?designer=alvar-aalto,Alvar Aalto · Mikado Deco,https://www.mikadodeco.be/produits.html?designer=alvar-aalto,Accueil > Le catalogue > Alvar Aalto,False,24,0
other,https://www.mikadodeco.be/produits.html?q=Bistro&brand=fermob,200,https://www.mikadodeco.be/produits.html?q=Bistro&brand=fermob,Résultats pour « Bistro » · Fermob · Mikado Deco,https://www.mikadodeco.be/produits.html?q=Bistro&brand=fermob,,False,24,24
other,https://www.mikadodeco.be/produits.html?cats=chaises,200,https://www.mikadodeco.be/produits.html?cats=chaises,Mobilier & objets de design — Catalogue · Mikado Deco,https://www.mikadodeco.be/produits.html,,False,24,0
other,https://www.mikadodeco.be/collections/verres-carafes?tag=verrerie,200,https://www.mikadodeco.be/collections/verres-carafes?tag=verrerie,Verres & carafes · Mikado Deco,https://www.mikadodeco.be/collections/verres-carafes,Accueil > Le catalogue > Verres & carafes,False,24,0
other,https://www.mikadodeco.be/collections/chaises?page=2,200,https://www.mikadodeco.be/collections/chaises?page=2,Chaises · Mikado Deco,https://www.mikadodeco.be/collections/chaises,Accueil > Le catalogue > Chaises,False,24,0
other,https://www.mikadodeco.be/collections/promotions,200,https://www.mikadodeco.be/collections/promotions,Promotions · Mikado Deco,https://www.mikadodeco.be/collections/promotions,Accueil > Le catalogue > Promotions,False,5,0
other,https://www.mikadodeco.be/collections/nouveautes,200,https://www.mikadodeco.be/collections/nouveautes,Nouveautés · Mikado Deco,https://www.mikadodeco.be/collections/nouveautes,Accueil > Le catalogue > Nouveautés,False,4,0
other,https://www.mikadodeco.be/journal.html,200,https://www.mikadodeco.be/journal.html,Le journal · Mikado Deco,https://www.mikadodeco.be/journal.html,,False,0,0
